time R11 R12 R13 R21 R22 R23 R31 R32 R33
0.000000000000000000e+00 1.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.054987628527174252e-03 9.999999194454377571e-01 -4.013840026268368087e-04 0.000000000000000000e+00 4.013840026268368087e-04 9.999999194454377571e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.010019985435288946e-02 9.999987161049194162e-01 -1.602432061763294337e-03 0.000000000000000000e+00 1.602432061763294337e-03 9.999987161049194162e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.519406175713868337e-02 9.999934248626158872e-01 -3.626324797347869801e-03 0.000000000000000000e+00 3.626324797347869801e-03 9.999934248626158872e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.019406175713865659e-02 9.999794835132692628e-01 -6.405665659038542112e-03 0.000000000000000000e+00 6.405665659038542112e-03 9.999794835132692628e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.519406175713862633e-02 9.999502951326663114e-01 -9.970319157051803910e-03 0.000000000000000000e+00 9.970319157051803910e-03 9.999502951326663114e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
3.019406175713859608e-02 9.998974611382381861e-01 -1.432016792169835302e-02 0.000000000000000000e+00 1.432016792169835302e-02 9.998974611382381861e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
3.519406175713856583e-02 9.998107335547119501e-01 -1.945500112539482254e-02 0.000000000000000000e+00 1.945500112539482254e-02 9.998107335547119501e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
4.019406175713853557e-02 9.996780161915947982e-01 -2.537447424554737513e-02 0.000000000000000000e+00 2.537447424554737513e-02 9.996780161915947982e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
4.519406175713850532e-02 9.994853665589329417e-01 -3.207806157728186613e-02 0.000000000000000000e+00 3.207806157728186613e-02 9.994853665589329417e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.019406175713847507e-02 9.992169987823149579e-01 -3.956500150971494628e-02 0.000000000000000000e+00 3.956500150971494628e-02 9.992169987823149579e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.519406175713844481e-02 9.988552878177697769e-01 -4.783423458654561394e-02 0.000000000000000000e+00 4.783423458654561394e-02 9.988552878177697769e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
