time torque_Nm angle_arcmin
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000048e-04 3.200000000000000000e+01 5.903884543482313708e-03
2.000000000000000096e-04 6.400000000000000000e+01 4.660908727910507976e-02
3.000000000000001363e-04 9.600000000000004263e+01 1.572031095163002323e-01
4.002102293708804893e-04 1.280672733986817491e+02 3.529346295249264354e-01
5.010626131184136049e-04 1.603400361978923456e+02 5.171205079737857258e-01
6.020001752724530144e-04 1.926400560871849450e+02 5.791206741310322981e-01
7.020331819027860387e-04 2.246506182088915295e+02 6.372259709887448942e-01
8.033382845711937699e-04 2.570682510627819966e+02 6.974162352804947895e-01
9.054205222737691421e-04 2.897345671276061125e+02 7.575612095411782265e-01
1.000861586012921156e-03 3.202757075241347593e+02 8.141344048224635754e-01
1.101002762438723498e-03 3.523208839803914998e+02 8.620854014217973482e-01
1.200453310061589448e-03 3.841450592197086280e+02 9.001047607316094989e-01
1.304876385065599151e-03 4.175604432209917718e+02 9.370889223317948602e-01
1.404766494590172637e-03 4.495252782688551747e+02 9.716575028056773089e-01
1.504766494590172900e-03 4.815252782688553452e+02 1.005634536180547878e+00
1.604766494590173162e-03 5.135252782688554589e+02 1.038353771837528638e+00
1.704766494590173424e-03 5.455252782688554589e+02 1.070614143938959595e+00
1.804766494590173687e-03 5.775252782688555726e+02 1.102545603746153624e+00
1.901226590078172523e-03 6.083925088250151703e+02 1.129156785069054258e+00
2.000955730691292202e-03 6.403058338212135823e+02 1.157168684244551438e+00
2.101148727772378117e-03 6.723675928871609813e+02 1.188545703960924849e+00
2.201341724853468369e-03 7.044293519531098582e+02 1.222128759907836759e+00
2.303538581876180425e-03 7.371323462003776967e+02 1.257124236954701990e+00
2.405735438898892482e-03 7.698353404476455353e+02 1.291936984096398788e+00
2.503123032061711252e-03 8.009993702597474794e+02 1.324724850866047188e+00
2.604117573119449011e-03 8.333176233982236454e+02 1.358260150762830687e+00
2.703370972701897839e-03 8.650787112646073638e+02 1.390803955573399975e+00
2.803370972701898101e-03 8.970787112646073638e+02 1.423342651874096587e+00
2.903370972701898364e-03 9.290787112646073638e+02 1.455657336051737749e+00
3.003370972701898626e-03 9.610787112646075911e+02 1.487643952521970681e+00
3.103370972701898888e-03 9.930787112646075911e+02 1.519352306456186019e+00
3.203370972701899150e-03 1.025078711264607591e+03 1.550764201352327287e+00
3.303370972701899413e-03 1.057078711264607819e+03 1.582018460899885293e+00
3.403370972701899675e-03 1.089078711264607819e+03 1.613019532652249177e+00
3.503370972701899937e-03 1.121078711264607819e+03 1.643865228307187065e+00
3.603370972701900200e-03 1.153078711264608046e+03 1.674607181908491782e+00
3.703370972701900462e-03 1.185078711264608046e+03 1.705142420851160523e+00
3.803370972701900724e-03 1.217078711264608046e+03 1.735425149492052732e+00
3.903370972701900986e-03 1.249078711264608273e+03 1.765501382613207770e+00
4.003370972701897346e-03 1.281078711264607136e+03 1.795427881542948523e+00
4.103370972701893271e-03 1.313078711264605772e+03 1.825309686924375008e+00
4.203370972701889197e-03 1.345078711264604635e+03 1.855175573849692672e+00
4.303370972701885122e-03 1.377078711264603044e+03 1.885084496040278834e+00
4.403370972701881048e-03 1.409078711264601907e+03 1.915009512541548053e+00
4.503370972701876973e-03 1.441078711264600543e+03 1.944853561155557076e+00
4.603370972701872899e-03 1.473078711264599406e+03 1.974520806678561113e+00
4.703370972701868824e-03 1.505078711264598041e+03 2.003995903223554365e+00
4.803370972701864750e-03 1.537078711264596677e+03 2.033265922522704994e+00
4.903370972701860675e-03 1.569078711264595313e+03 2.062306420987573219e+00
5.003370972701856600e-03 1.601078711264593949e+03 2.091161957831232154e+00
5.103370972701852526e-03 1.633078711264592812e+03 2.119887778584032212e+00
5.203370972701848451e-03 1.665078711264591448e+03 2.148576720723998523e+00
5.303370972701844377e-03 1.697078711264590083e+03 2.177261862297902084e+00
5.403370972701840302e-03 1.729078711264588719e+03 2.205965199793434639e+00
5.503370972701836228e-03 1.761078711264587582e+03 2.234698464774839799e+00
5.603370972701832153e-03 1.793078711264586218e+03 2.264400136784403550e+00
5.703370972701828079e-03 1.825078711264584854e+03 2.295906755782796793e+00
5.803370972701824004e-03 1.857078711264583490e+03 2.327406894722517272e+00
5.907370972701823930e-03 1.890358711264583690e+03 2.359619729914045116e+00
6.001770972701826225e-03 1.920566711264584455e+03 2.388238371033129859e+00
6.109370972701825588e-03 1.954998711264584017e+03 2.420166954463370601e+00
6.209370972701821513e-03 1.986998711264582653e+03 2.449280212042091343e+00
6.309370972701817439e-03 2.018998711264581743e+03 2.477917727522504610e+00
6.409370972701813364e-03 2.050998711264580379e+03 2.506192998385373905e+00
6.509370972701809289e-03 2.082998711264579015e+03 2.534294865432564325e+00
6.609370972701805215e-03 2.114998711264577651e+03 2.562359172143595210e+00
6.709370972701801140e-03 2.146998711264576286e+03 2.590462312189536487e+00
6.809370972701797066e-03 2.178998711264574922e+03 2.618625231296110911e+00
6.909370972701792991e-03 2.210998711264573558e+03 2.646784779638678753e+00
7.009370972701788917e-03 2.242998711264572194e+03 2.674772817586490881e+00
7.109370972701784842e-03 2.274998711264571284e+03 2.702496050734891408e+00
7.209370972701780768e-03 2.306998711264569920e+03 2.729923848052440594e+00
7.309370972701776693e-03 2.338998711264568556e+03 2.757037884648663617e+00
7.409370972701772619e-03 2.370998711264567191e+03 2.783839404723285949e+00
7.509370972701768544e-03 2.402998711264565827e+03 2.810356127217993549e+00
7.609370972701764470e-03 2.434998711264564463e+03 2.836638595476692171e+00
7.709370972701760395e-03 2.466998711264563099e+03 2.862764798169134206e+00
7.809370972701756321e-03 2.498998711264561734e+03 2.888864281584558213e+00
7.909370972701753114e-03 2.530998711264560825e+03 2.915034191309252787e+00
8.009370972701749039e-03 2.562998711264559915e+03 2.941335151286141869e+00
8.109370972701744965e-03 2.594998711264558551e+03 2.967794897271577970e+00
8.209370972701740890e-03 2.626998711264557187e+03 2.994406002736273109e+00
8.309370972701736816e-03 2.658998711264555368e+03 3.021124346023400076e+00
8.409370972701732741e-03 2.690998711264554458e+03 3.047877284094031580e+00
8.509370972701728666e-03 2.722998711264553094e+03 3.074579760029324316e+00
8.609370972701724592e-03 2.754998711264551730e+03 3.101152731924392114e+00
8.709370972701720517e-03 2.786998711264550366e+03 3.127539097403718493e+00
8.809370972701716443e-03 2.818998711264549456e+03 3.153716629249984305e+00
8.909370972701712368e-03 2.850998711264548092e+03 3.179703913267434068e+00
9.009370972701708294e-03 2.882998711264546728e+03 3.205551986312598078e+00
9.109370972701704219e-03 2.914998711264545364e+03 3.231338191058966913e+00
9.209370972701700145e-03 2.946998711264543999e+03 3.257145525043261269e+00
9.309370972701696070e-03 2.978998711264542635e+03 3.283044734471634030e+00
9.409370972701691996e-03 3.010998711264541271e+03 3.309080029508925325e+00
9.509370972701687921e-03 3.042998711264539907e+03 3.335247285691985919e+00
9.609370972701683847e-03 3.074998711264538997e+03 3.361477050805304678e+00
9.709370972701679772e-03 3.106998711264537633e+03 3.387700153966333616e+00
9.809370972701675698e-03 3.138998711264536269e+03 3.413845123362027500e+00
9.909370972701671623e-03 3.170998711264534904e+03 3.439842670912211631e+00
1.000937097270166755e-02 3.197001288735466460e+03 3.465623118076824660e+00
1.010937097270166347e-02 3.165001288735467824e+03 3.485421224061875378e+00
1.020937097270165940e-02 3.133001288735469188e+03 3.493551694077249525e+00
1.030937097270165533e-02 3.101001288735470553e+03 3.492111089702532922e+00
1.040937097270165125e-02 3.069001288735471462e+03 3.483536910948883847e+00
1.050937097270164718e-02 3.037001288735472826e+03 3.469729648479938700e+00
1.060937097270164310e-02 3.005001288735474191e+03 3.452039528983553041e+00
1.070937097270163903e-02 2.973001288735475555e+03 3.431446176560104089e+00
1.080937097270163495e-02 2.941001288735476919e+03 3.408729210553212319e+00
