time R11 R12 R13 R21 R22 R23 R31 R32 R33
0.000000000000000000e+00 1.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
9.999999999999990992e-05 9.999999999999992228e-01 -3.564939745236582813e-08 0.000000000000000000e+00 3.564939745236582813e-08 9.999999999999992228e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.999999999999996301e-04 9.999999999999708011e-01 -2.410035418651761626e-07 0.000000000000000000e+00 2.410035418651761626e-07 9.999999999999708011e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.999999999999993774e-04 9.999999999997518652e-01 -7.042605988211236717e-07 0.000000000000000000e+00 7.042605988211236717e-07 9.999999999997518652e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
3.999999999999990976e-04 9.999999999989240829e-01 -1.466831936843098792e-06 0.000000000000000000e+00 1.466831936843098792e-06 9.999999999989240829e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
4.999999999999991430e-04 9.999999999967568165e-01 -2.546808905900571277e-06 0.000000000000000000e+00 2.546808905900571277e-06 9.999999999967568165e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
6.000000000000015737e-04 9.999999999921954652e-01 -3.950783127271864362e-06 0.000000000000000000e+00 3.950783127271864362e-06 9.999999999921954652e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
7.000000000000040044e-04 9.999999999838699027e-01 -5.679788361334898878e-06 0.000000000000000000e+00 5.679788361334898878e-06 9.999999999838699027e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
8.000000000000064351e-04 9.999999999701059128e-01 -7.732276522370893520e-06 0.000000000000000000e+00 7.732276522370893520e-06 9.999999999701059128e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
9.000000000000088658e-04 9.999999999489382896e-01 -1.010559840727953115e-05 0.000000000000000000e+00 1.010559840727953115e-05 9.999999999489382896e-01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
